,Player,Player.1,xG
1,Ousmane Dembélé,Kylian Mbappé,0.01
2,Theo Hernández,Aurélien Tchouaméni,0.01
3,Antoine Griezmann,Ousmane Dembélé,0.06
4,Adrien Rabiot,Theo Hernández,0.18
5,Olivier Giroud,Antoine Griezmann,0.18
6,Olivier Giroud,Adrien Rabiot,0.8
7,Kylian Mbappé,Ousmane Dembélé,0.05
8,Olivier Giroud,Kylian Mbappé,0.16
9,Ousmane Dembélé,Kylian Mbappé,0.18
10,Antoine Griezmann,Kylian Mbappé,0.05
11,Kylian Mbappé,Antoine Griezmann,0.47
12,Aurélien Tchouaméni,Dayot Upamecano,0.06
13,Olivier Giroud,Theo Hernández,0.19
14,Kylian Mbappé,Olivier Giroud,0.12
15,Kylian Mbappé,Dayot Upamecano,0.07
16,Ibrahima Konaté,Antoine Griezmann,0.14
17,Kylian Mbappé,Dayot Upamecano,0.04
18,Antoine Griezmann,Theo Hernández,0.21
19,Kylian Mbappé,Theo Hernández,0.05
20,Kylian Mbappé,Ousmane Dembélé,0.45
21,Olivier Giroud,Kylian Mbappé,0.38
22,Ibrahima Konaté,Antoine Griezmann,0.22
23,Theo Hernández,Antoine Griezmann,0.1
1,Ousmane Dembélé,Kylian Mbappé,0.03
2,Adrien Rabiot,Theo Hernández,0.15
3,Raphaël Varane,Antoine Griezmann,0.09
4,Olivier Giroud,Kylian Mbappé,0.12
5,Adrien Rabiot,Ousmane Dembélé,0.08
6,Jules Koundé,Kylian Mbappé,0.07
7,Antoine Griezmann,Olivier Giroud,0.03
8,Aurélien Tchouaméni,Ousmane Dembélé,0.04
9,Ousmane Dembélé,Aurélien Tchouaméni,0.07
10,Adrien Rabiot,Dayot Upamecano,0.04
11,Olivier Giroud,Kylian Mbappé,0.05
12,Kylian Mbappé,Ousmane Dembélé,0.16
13,Kylian Mbappé,Theo Hernández,0.04
14,Kylian Mbappé,Kylian Mbappé,0.05
15,Antoine Griezmann,Aurélien Tchouaméni,0.29
16,Kylian Mbappé,Theo Hernández,0.09
17,Aurélien Tchouaméni,Antoine Griezmann,0.16
18,Jules Koundé,Kingsley Coman,0.08
19,Adrien Rabiot,Theo Hernández,0.09
20,Kylian Mbappé,Antoine Griezmann,0.63
21,Kylian Mbappé,Theo Hernández,0.08
1,Kingsley Coman,Youssouf Fofana,0.16
2,Youssouf Fofana,Aurélien Tchouaméni,0.04
3,Axel Disasi,Antoine Griezmann,0.07
5,Ousmane Dembélé,William Saliba,0.03
6,Adrien Rabiot,Ousmane Dembélé,0.1
7,Kylian Mbappé,Kylian Mbappé,0.02
8,Randal Kolo Muani,Antoine Griezmann,0.04
9,Kylian Mbappé,Kylian Mbappé,0.06
10,Kylian Mbappé,Kylian Mbappé,0.02
1,Raphaël Varane,Antoine Griezmann,0.19
2,Ousmane Dembélé,Kylian Mbappé,0.05
3,Aurélien Tchouaméni,Adrien Rabiot,0.02
5,Jules Koundé,Aurélien Tchouaméni,0.03
6,Kylian Mbappé,Kylian Mbappé,0.04
7,Dayot Upamecano,Antoine Griezmann,0.05
8,Olivier Giroud,Dayot Upamecano,0.05
9,Olivier Giroud,Kylian Mbappé,0.43
10,Antoine Griezmann,Ousmane Dembélé,0.04
11,Theo Hernández,Antoine Griezmann,0.04
12,Kylian Mbappé,Antoine Griezmann,0.03
13,Kylian Mbappé,Ousmane Dembélé,0.07
14,Kylian Mbappé,Ousmane Dembélé,0.11
15,Theo Hernández,Theo Hernández,0.12
16,Kylian Mbappé,Marcus Thuram,0.04
1,Olivier Giroud,Ousmane Dembélé,0.15
2,Aurélien Tchouaméni,Antoine Griezmann,0.03
3,Kylian Mbappé,Theo Hernández,0.13
4,Adrien Rabiot,Jules Koundé,0.07
5,Ousmane Dembélé,Kylian Mbappé,0.03
6,Olivier Giroud,Theo Hernández,0.05
7,Olivier Giroud,Ousmane Dembélé,0.38
8,Olivier Giroud,Antoine Griezmann,0.17
1,Kylian Mbappé,Antoine Griezmann,0.08
2,Theo Hernández,Kylian Mbappé,0.12
3,Olivier Giroud,Ibrahima Konaté,0.08
4,Aurélien Tchouaméni,Kylian Mbappé,0.05
5,Olivier Giroud,Antoine Griezmann,0.03
6,Youssouf Fofana,Olivier Giroud,0.06
7,Kylian Mbappé,Aurélien Tchouaméni,0.5
8,Olivier Giroud,Aurélien Tchouaméni,0.2
9,Raphaël Varane,Antoine Griezmann,0.07
10,Jules Koundé,Kylian Mbappé,0.02
11,Marcus Thuram,Antoine Griezmann,0.22
12,Youssouf Fofana,Marcus Thuram,0.04
13,Kylian Mbappé,Kylian Mbappé,0.06
14,Randal Kolo Muani,Kylian Mbappé,0.69
1,Kylian Mbappé,Kylian Mbappé,0.0
2,Aurélien Tchouaméni,Adrien Rabiot,0.0
3,Ousmane Dembélé,Dayot Upamecano,0.0
4,Theo Hernández,Dayot Upamecano,0.0
5,Antoine Griezmann,Theo Hernández,0.0
6,Adrien Rabiot,Kylian Mbappé,0.0
7,Ousmane Dembélé,Benjamin Pavard,0.0
9,Kylian Mbappé,Theo Hernández,0.0
10,Kylian Mbappé,Ousmane Dembélé,0.0
11,Antoine Griezmann,Dayot Upamecano,0.0
12,Dayot Upamecano,Ibrahima Konaté,0.0
13,Theo Hernández,Dayot Upamecano,0.0
14,Olivier Giroud,Kylian Mbappé,0.0
15,Dayot Upamecano,Aurélien Tchouaméni,0.0
17,Dayot Upamecano,Aurélien Tchouaméni,0.0
18,Theo Hernández,Kylian Mbappé,0.0
19,Theo Hernández,Dayot Upamecano,0.0
20,Ousmane Dembélé,Kylian Mbappé,0.0
21,Kylian Mbappé,Dayot Upamecano,0.0
22,Antoine Griezmann,Antoine Griezmann,0.0
23,Antoine Griezmann,Jules Koundé,0.0
1,Kylian Mbappé,Adrien Rabiot,0.0
2,Theo Hernández,Kylian Mbappé,0.0
3,Antoine Griezmann,Kylian Mbappé,0.0
4,Kylian Mbappé,Aurélien Tchouaméni,0.0
5,Ousmane Dembélé,Antoine Griezmann,0.0
6,Kylian Mbappé,Antoine Griezmann,0.0
7,Olivier Giroud,Antoine Griezmann,0.0
8,Ousmane Dembélé,Antoine Griezmann,0.0
9,Aurélien Tchouaméni,Aurélien Tchouaméni,0.0
10,Dayot Upamecano,Ousmane Dembélé,0.0
11,Kylian Mbappé,Ousmane Dembélé,0.0
12,Ousmane Dembélé,Dayot Upamecano,0.0
13,Theo Hernández,Antoine Griezmann,0.0
14,Kylian Mbappé,Adrien Rabiot,0.0
15,Aurélien Tchouaméni,Adrien Rabiot,0.0
16,Theo Hernández,Kylian Mbappé,0.0
18,Kingsley Coman,Kingsley Coman,0.0
19,Theo Hernández,Kylian Mbappé,0.0
20,Antoine Griezmann,Jules Koundé,0.0
1,Youssouf Fofana,Aurélien Tchouaméni,0.0
2,Aurélien Tchouaméni,Ibrahima Konaté,0.0
5,William Saliba,Adrien Rabiot,0.0
6,Ousmane Dembélé,Kylian Mbappé,0.0
7,Kylian Mbappé,Kylian Mbappé,0.0
8,Antoine Griezmann,Kylian Mbappé,0.0
9,Kylian Mbappé,Antoine Griezmann,0.0
1,Antoine Griezmann,Jules Koundé,0.0
2,Kylian Mbappé,Adrien Rabiot,0.0
3,Adrien Rabiot,Kylian Mbappé,0.0
5,Aurélien Tchouaméni,Kylian Mbappé,0.0
6,Kylian Mbappé,Antoine Griezmann,0.0
7,Antoine Griezmann,Kylian Mbappé,0.0
9,Kylian Mbappé,Dayot Upamecano,0.0
10,Ousmane Dembélé,Olivier Giroud,0.0
13,Ousmane Dembélé,Kylian Mbappé,0.0
14,Ousmane Dembélé,Olivier Giroud,0.0
15,Theo Hernández,Kylian Mbappé,0.0
16,Marcus Thuram,Kylian Mbappé,0.0
1,Ousmane Dembélé,Antoine Griezmann,0.0
2,Antoine Griezmann,Ousmane Dembélé,0.0
3,Theo Hernández,Ousmane Dembélé,0.0
4,Jules Koundé,Raphaël Varane,0.0
5,Kylian Mbappé,Antoine Griezmann,0.0
6,Theo Hernández,Adrien Rabiot,0.0
7,Ousmane Dembélé,Adrien Rabiot,0.0
8,Antoine Griezmann,Theo Hernández,0.0
1,Antoine Griezmann,Raphaël Varane,0.0
3,Ibrahima Konaté,Hugo Lloris,0.0
4,Kylian Mbappé,Theo Hernández,0.0
5,Antoine Griezmann,Antoine Griezmann,0.0
7,Aurélien Tchouaméni,Aurélien Tchouaméni,0.0
8,Aurélien Tchouaméni,Kylian Mbappé,0.0
10,Kylian Mbappé,Kylian Mbappé,0.0
11,Antoine Griezmann,Marcus Thuram,0.0
12,Marcus Thuram,Youssouf Fofana,0.0
13,Kylian Mbappé,Kylian Mbappé,0.0
